otak anies baswedan capres favorit indonesia lebih pua n ganjar prabowo dll politis cerdas sudut pandang ;positif;5.0
elektabilitas prabowo subianto lesat survei lsp susul ganjar anies;positif;3.0
terima tapi belum pilih pilih anies ganjar pilih anies ganjar pilih prabowo teta p pilih prabowo yang pilih prabowo migrasi ganjar anies 2024 hitung;positif;15.0
aja kelompok coba kau bayang anda ganjar rapat anies ap a bu jer2 kima k kek nil uh dll memuja2 ganjar;negatif;-6.0
survei lsp prabowo subianto terima pilih ganjar anies;positif;4.0
ganjar anies dll cfd politik silah kemas bagus;negatif;-3.0
sudah cocok tri umkm presiden anies baswedan ayo ngul dukung den ganjar tri umkm;positif;14.0
anies sudah dukung partaiganjar saing ganjar tu puan;positif;4.0
lembaga survey menang ganjar prabowo survey ikut 2500 orang lokasi surveynys byk daerah non mus lim dangka n voting medsos yang ikut ratus ribu voting anies menang prosentase 7090 tahu bohong survey abal2;positif;0.0
anies pribumi ahok non pribumi jokowianak turun pki ganjar agama nya ngga;negatif;-8.0
anies hebat saat beres jabat sempat2nya sedia nemuin gelintir bani taikers wuahahaks pokok 2024 prabowo yang presiden kalo anies gubernur ibukota ikn ganjar gubernur j;positif;3.0
pdip benarbenar kalah telak nasdem usung anies pan deklarasi ganjar capres 2024;negatif;-4.0
kesal lesti karna kdrt juga kesal dukung ganjar puan serang anies baswedan kiri kana n a tas karna p restasi nya yang tidak ngaca pilih tidak prestasi apa mikir;negatif;-9.0
libas habis ganjar anies amat bongkar sosok rising star pilpres 2024 orang jokowi;negatif;-6.0
sudah jilat pantat nya anies aja tidak sok keras c ircl e nya pec inta ganjar;negatif;-5.0
survei lsp prabowo kesan satu terima pilih ganjar anies;positif;4.0
survei capres prabowo atas susul ganjar anies;positif;3.0
prabowo kuasa medan perang anies ganjar ahy mending minggir;negatif;-3.0
kesan utama publik anies kenal capres kadrun pandai bicara ganjar jokowi;negatif;-6.0
banding anies dengan gp langit bumi ganjar hy modal citra;negatif;-3.0
ramai ganjar istanakita anter anies tahan kpk tuju rt kerasssss maju wo h ttpst copcqgfh dpeq;negatif;-11.0
kalo banjir jateng walu tenggelam tidak nyinyir bpkkan dukung bilang faktor alamtapi kalo banj ir d ki tumit p emdukung ganjar slahin anies coba namnya yang pantes ganjar suwun;negatif;-12.0
goblok jangan d tunjukin kamu pikir anies kek ganjar;negatif;-7.0
rakyat indonesia yang waras dukung anies yang dungu dukung ganjar pranowo;positif;0.0
narasi kamu bawa2 anies mulu bungul pea dukung ganjar kamu tidak bawa2 anies tolol;negatif;-6.0
mulan jam anggota dprri partai grindra wajar ahmad dhani berat anies capres partai nasdem elektabil anie s jauuuuuhhh bawah probowo ganjar puan maharani tidak terima;negatif;-6.0
survei lsp elektabilitas prabowo tinggi susul ganjar pranowo anies;positif;3.0
survei capres lsp prabowo atas susul ganjar anies;positif;3.0
semangat mas ayo dukung anies for presiden 2024 ganjar suka bokep parah puan oon nya sama mukidi     udh anies bener sudah;negatif;-7.0
blog prestasi ganjar ayo sebutin integrasi angkut reformasi transportasi publik jaka rta anies mel alu jaklingko brilliant yang bantah karya anies;positif;11.0
kalo banggain prestasi ganjar tidak nyndir anies sma2 prestasi poltikus ko otak cetek bangetpantesnya jadi b uzzer mca m si abu janda;negatif;-2.0
partai lucu  pdip dengan kuota 20 capres puan gerindra prabowo anies partai dengan kuota 20 pt lha psi bera pa ganja r orang p dip kudu izin dululah pdip  yenny sudah izin gusdurian entar dilepeh;negatif;-9.0
