kalo ganjar gimana ya;positif;4.0
mbak biar gandeng ganjar pranowo;negatif;-3.0
pganjar sehat salam sehat untuk masyarakat semarang masyarakat jateng ;positif;10.0
banding dengan ganjar;negatif;-3.0
fakta yang bener salah ganjar fitnah isu ektp nazarudin;negatif;-14.0
gibahin ganjar kamu ko;positif;0
ngomongin sih ganjar;negatif;-3.0
jual ganjar anis jadi presiden;positif;4.0
cocok ganjar ya setnov republik ektp;positif;7.0
emang prestasi ganjar sebutin 1 aja prestasi yang bagong nonton bokep ;positif;2.0
waow ngebokep ganjar bangit;negatif;-4.0
otak anies baswedan capres favorit indonesia lebih pua n ganjar prabowo dll politis cerdas sudut pandang ;positif;5.0
prestasi ganjar apa;positif;3.0
yang ganjar untung ambil sekarang;negatif;-6.0
strategi psi gerogot suara pdip dukung ganjar yen yakin suara pdip 2024 parlemen mel orot digerogo ti psi;negatif;-1.0
lanjut gimana usut ganjar terima 500rb usd;positif;2.0
hoaaaah sudah ganjar yah;positif;0
aja  ganjar nol prestasi;negatif;-1.0
ganjar pranowo;positif;0
elektabilitas prabowo subianto lesat survei lsp susul ganjar anies;positif;3.0
ganjar yes;positif;3.0
terima tapi belum pilih pilih anies ganjar pilih anies ganjar pilih prabowo teta p pilih prabowo yang pilih prabowo migrasi ganjar anies 2024 hitung;positif;15.0
apik ganjar yoh;positif;3.0
assallam mu allaekum wr wbsemoga ganjar menang capres 2024ammin ya robbal al ammin;positif;8.0
jauh tim nya ganjar semarang jakarta keliling jalan santai semarang banjir tidak urus   g ak main prahu gethek bangga;negatif;-1.0
kalau post video anis buzzer derita kalau post video ganjar kadrun menderitakasian dukung derita anis sm tidak njar derit a tidak yaa ;negatif;-6.0
ooo ganjar pingin nyapres monggo wae aju partai psi;positif;2.0
aja kelompok coba kau bayang anda ganjar rapat anies ap a bu jer2 kima k kek nil uh dll memuja2 ganjar;negatif;-6.0
ooo ganjar pingin presiden monggo wae mas aju partai psi;positif;5.0
