otak anies baswedan capres favorit indonesia lebih pua n ganjar prabowo dll politis cerdas sudut pandang ;positif;5.0
elektabilitas prabowo subianto lesat survei lsp susul ganjar anies;positif;3.0
terima tapi belum pilih pilih anies ganjar pilih anies ganjar pilih prabowo teta p pilih prabowo yang pilih prabowo migrasi ganjar anies 2024 hitung;positif;15.0
hasil survei capres 2024 baru prabowo subianto ganjar pranowo;positif;3.0
survei lsp prabowo subianto terima pilih ganjar anies;positif;4.0
bp prabowo subianto bp ganjar pranowo negarawan wni asli yang peluang pimpin nkri;positif;6.0
lembaga survey menang ganjar prabowo survey ikut 2500 orang lokasi surveynys byk daerah non mus lim dangka n voting medsos yang ikut ratus ribu voting anies menang prosentase 7090 tahu bohong survey abal2;positif;0.0
anies hebat saat beres jabat sempat2nya sedia nemuin gelintir bani taikers wuahahaks pokok 2024 prabowo yang presiden kalo anies gubernur ibukota ikn ganjar gubernur j;positif;3.0
survei lsp prabowo kesan satu terima pilih ganjar anies;positif;4.0
survei capres prabowo atas susul ganjar anies;positif;3.0
prabowo kuasa medan perang anies ganjar ahy mending minggir;negatif;-3.0
sakit hati ya partai jokowi prabowo lesat tinggal hasil survei tidak k pe rcaya ta pi ijazah palsu omong orang tidak waras percaya moga pdo kuasa lanjut perintah;negatif;-7.0
sebut capres yang anis ganjar prabowo ahy bu puan ganjar tidak masuk hit ungan k arena sudah bukti hoby bokep emang presiden hoby nonton bokep;negatif;-13.0
rasah crewetklo bkn ganjar capres saya milih prabowo partai nya aja ttp pdipbiar ngrasain kalo emng glayang jangan d k sak g b aper knapa ktum partai g calon bupati dlu kek biar bs d cek trekrecord nya mem;negatif;-4.0
survei lsp elektabilitas prabowo tinggi susul ganjar pranowo anies;positif;3.0
survei capres lsp prabowo atas susul ganjar anies;positif;3.0
partai lucu  pdip dengan kuota 20 capres puan gerindra prabowo anies partai dengan kuota 20 pt lha psi bera pa ganja r orang p dip kudu izin dululah pdip  yenny sudah izin gusdurian entar dilepeh;negatif;-9.0
gas pasu prabowo yang garis drama ronde du gabung garis lagi lawan ganjar;negatif;-23.0
survei capres lsp prabowo atas susul ganjar anies;positif;3.0
sy ngga suka prabowo lawan anies baswedan sy pilih yang ngga golput mudah2 an aja capres ganjar v s an ies;negatif;-6.0
survei capres lsp prabowo atas susul ganjar dan anies;positif;3.0
hasil survei lsp prabowo terima pilih ganjar dan anies;positif;7.0
survei bukti prabowo sosok terima pilih ganjar anies;positif;1.0
elektabilitas prabowo subianto lesat survei lsp susul ganjar anies;positif;3.0
terima pilih ganjar anies survei lsp kesan satu lekat prabowo;positif;1.0
terima pilih ganjar anies survei lsp kesan satu lekat prabowo;positif;1.0
calon prabowo airlangga mbak puan ganjar anies erick anies yang d iserang banjir a da dimana2 jabodetabek kenapa anies yang serang;negatif;-8.0
terima pilih ganjar anies survei lsp kesan satu lekat prabowo;positif;1.0
elektabilitas prabowo subianto lesat survei lsp susul ganjar anies;positif;3.0
prabowo presiden jokowi wakil ;positif;3.0
poles aja trus sampai kinclong itu gigi manggil surveyor bayar koresponden yang disurvey kantor kemenhan ud ah l ah menang tu h prabowo;positif;2.0
kasih info lembaga yang ngeluarin survei nama pdb pusat data satu lembaga yang yang keluar hasil sur vei pi lpres 201 4 prabowo hatta unggul jokowi jk nyata;negatif;-9.0
otak anies baswedan capres favorit indonesia lebih pua n ganjar prabowo dll politis cerdas sudut pandang ;positif;5.0
prabowo milik institut teknologi adityawarman nijarsetiady;positif;1.0
semangat bpk prabowo tinggal presiden ri hancur kandrun kecebong;negatif;-1.0
