slang;kata baku
ente;kamu
ga;tidak
utk;untuk
sblmnya;sebelumnya
gantiin;menggantikan
gk;tidak
klo;kalo
gak;tidak
ngak;tidak
bsa;bisa
tdk;tidak
hrs;harus
tuh;itu
trima;terima
mnerima;menerima
gw;saya
gue;saya
elu;kamu
lu;kamu
lo;kamu
knp;kenapa
loe;kamu
dg;dengan
dgn;dengan
yg;yang
lsg;langsung
kl;kalau
jd;jadi
jdi;jadi
jg;juga
jga;juga
ama;sama
bgt;banget
krn;karena
mantab;mantap
mksh;makasih
ora;tidak
ndak;tidak
dlm;dalam
njelekin;menjelekan
kyk;seperti
gni;gini
mlm;malam
org;orang
lg;lagi
sblmnya;sebelumnya
udah;sudah
sdh;sudah
skrng;sekarang
jgn;jangan
nnti;nanti
moga;semoga
jngn;jangan
blm;belum
tp;tapi
trs;terus
gmn;gimana
gmna;gimana
sbg;sebagai
sma;sama
dah;sudah
tuh;itu
smpe;sampai
sbb;sebab
