datetime;username;content
2022-10-15 23:59:35+00:00;jayas_sakti;@abu_waras Kalo Ganjar gimana ya ,, https://t.co/zVyZsXtYT8
2022-10-15 23:58:49+00:00;WirabumiBre;@_riverheaven Saya sampaikan mbak Biar nanti gandeng ganjar pranowo
2022-10-15 23:58:31+00:00;teguhwi65167709;@ganjarpranowo P.Ganjar, sehat selalu dan salam sehat utk masyarakat semarang serta masyarakat ( Jateng )👍
2022-10-15 23:58:13+00:00;von_edison;@WadyaIrbar @marlina_idha bandingkan dgn GANJAR
2022-10-15 23:58:07+00:00;alifaltama;@HanifAllRole @Suga33372220 @ganjarpranowo Saya ikut fakta, mana yg bener dan salah. Pak Ganjar cuma di fitnah isu ektp sama nazarudin.
2022-10-15 23:57:19+00:00;DharWid;@_ekokuntadhi Lagi gibahin Ganjar lu Ko???
2022-10-15 23:57:05+00:00;mangbudi84;@_ekokuntadhi Ngomongin siapa sih, ganjar?
2022-10-15 23:55:38+00:00;Asdin28812169;@kangngabei Jualan pak ganjar... Pak anis jdi presiden https://t.co/pLhDvIuSQW
2022-10-15 23:55:04+00:00;ImanTangankanan;@febridiansyah Cocoknya Ganjar itu ya dengan Setnov. Republik EKTP
2022-10-15 23:54:06+00:00;SaheerKahn;@TeddGus @aniesbaswedan Emang ada prestasi ganjar? Sebutin 1 aja.... prestasi yg membagongkan kan cuma nonton bokep... 😁😁
2022-10-15 23:50:05+00:00;ImanTangankanan;@Rakyat_Recehan Waow Ngebokep. Itu Ganjar bangit
2022-10-15 23:49:49+00:00;Manggurasi;Seharusnya yang menjadi pertanyaan di otakmu itu adalah: Kenapa Anies Baswedan bisa menjadi CAPRES terfavorit di indonesia melebihi dari Puan, ganjar, prabowo dll? ini yang seharusnya seorang politisi yang cerdas melihat diri sudut pandang ini. 🤣🤣 https://t.co/vPtZgctjz2
2022-10-15 23:48:27+00:00;chenggur2;@TeddGus @aniesbaswedan Prestasi Ganjar apa?🤭🤭
2022-10-15 23:48:20+00:00;Ojoklalenya;@01Negeriku Hanya ini yg paling bisa bagi Ganjar. beruntung jika @Gerindra  mengambilnya sekarang...‼
2022-10-15 23:47:41+00:00;JAckBianto;@bachrum_achmadi Itu strategi psi untuk menggerogoti suara pdip pendukung ganjar dan yeni. Yakinlah suara pdip 2024 di parlemen akan melorot digerogoti psi.
2022-10-15 23:46:25+00:00;bukansupermie;@soepardi801 @M45Broo_ Kelanjutannya gmn? Apakah sudah diusut bahwa benar Ganjar menerima 500rb USD?
2022-10-15 23:46:18+00:00;headofhakims;@Uki23 Hoaaaah, udah banyak, yang penting jangan ganjar lah yah
2022-10-15 23:46:10+00:00;SarminaUsman;@SangPejuank @Urrangawak @ganjarpranowo Itu aja dulu 🤣🤣🤣 ganjar nol prestasi https://t.co/6sjYsatSZF
2022-10-15 23:45:17+00:00;Hemdaninovic;@_ekokuntadhi Ganjar Pranowo
