"@abu_waras Kalo Ganjar gimana ya ,, https://t.co/zVyZsXtYT8				"
"@_riverheaven Saya sampaikan mbak Biar nanti gandeng ganjar pranowo				"
"@ganjarpranowo P.Ganjar, sehat selalu dan salam sehat utk masyarakat semarang serta masyarakat ( Jateng )👍				"
"@WadyaIrbar @marlina_idha bandingkan dgn GANJAR				"
"@HanifAllRole @Suga33372220 @ganjarpranowo Saya ikut fakta, mana yg bener dan salah. Pak Ganjar cuma di fitnah isu ektp sama nazarudin.				"
"@_ekokuntadhi Lagi gibahin Ganjar lu Ko???				"
"@_ekokuntadhi Ngomongin siapa sih, ganjar?				"
"@kangngabei Jualan pak ganjar... Pak anis jdi presiden https://t.co/pLhDvIuSQW				"
"@febridiansyah Cocoknya Ganjar itu ya dengan Setnov. Republik EKTP				"
"@TeddGus @aniesbaswedan Emang ada prestasi ganjar? Sebutin 1 aja.... prestasi yg membagongkan kan cuma nonton bokep... 😁😁				"
"@Rakyat_Recehan Waow Ngebokep. Itu Ganjar bangit				"
"Seharusnya yang menjadi pertanyaan di otakmu itu adalah: Kenapa Anies Baswedan bisa menjadi CAPRES terfavorit di indonesia melebihi dari	Pua	n, ganjar	, prabowo	dll? ini yang seharusnya seorang politisi yang cerdas melihat diri sudut pandang ini. 🤣🤣 https://t.co/vPtZgctjz2"
"@TeddGus @aniesbaswedan Prestasi Ganjar apa?🤭🤭				"
"@01Negeriku Hanya ini yg paling bisa bagi Ganjar. beruntung jika @Gerindra  mengambilnya sekarang...‼				"
"@bachrum_achmadi Itu strategi psi untuk menggerogoti suara pdip pendukung ganjar dan yeni. Yakinlah suara pdip 2024 di parlemen akan mel	orot	digerogo	ti psi.	"
"@soepardi801 @M45Broo_ Kelanjutannya gmn? Apakah sudah diusut bahwa benar Ganjar menerima 500rb USD?				"
"@Uki23 Hoaaaah, udah banyak, yang penting jangan ganjar lah yah				"
"@SangPejuank @Urrangawak @ganjarpranowo Itu aja dulu 🤣🤣🤣 ganjar nol prestasi https://t.co/6sjYsatSZF				"
"@_ekokuntadhi Ganjar Pranowo				"
"Elektabilitas Prabowo Subianto Melesat Menurut Survei LSP, Disusul Ganjar dan Anies				"
"@wulandari_erian @RK_Lamongan @_RiuRizkiUtomo Ganjar yes				"
"@liputan6dotcom Di terima tp kan blm tentu jadi pilihan Karena pemilih Anies dan Ganjar akan memilih Anies dan Ganjar , pemilih Prabowo	teta	p pemilih	Prabowo	,justru yg bakal terjadi itu pemilih Prabowo akan migrasi ke Ganjar dan Anies di 2024 ! Hitungan"
"@JulBayur3 Apik pak Ganjar yoh				"
"@ganjarpranowo Assallam mu allaekum wr wb?Semoga pak ganjar memenangkan capres 2024?Ammin ya robbal al ammin?				"
"@detikcom Jauhan tim nya Ganjar, jauh jauh dari Semarang ke Jakarta buat keliling jalan santai. Lah semarang kebanjiran malah gak diurus	�	�😆😆	kenapa g	ak main prahu gethek dengan bangga."
"@aLy_Bima Kl post video anis buzzer menderita, kl post video ganjar kadrun menderita....kasian para pendukung pada menderita. Anis sm Ga	njar	menderit	a gak yaa	? 🤔"
"@Uki23 Ooo ganjar pingin nyapres juga? Monggo wae. Diajukan oleh partai apa? PSI.				"
"@tjahjo1008 @DreamBott @aribowos @PartaiSocmed Lah sama aja dengan kelompokmu. Coba kau bayangkan seandainya ganjar merapat ke anies? Ap	a bu	jer2 kima	k kek nil	uh dll itu masih akan memuja2 ganjar?"
"@arifin34533 Ooo ganjar pingin jadi presiden juga?  Monggo wae mas. Diajukan oleh partai apa? PSI.				"
"@ChusnulCh__ @ganjarpranowo @aniesbaswedan Jebulnya dirimu akun buzzer nya ganjar to... Kasihan banget kamu, miskin literasi luuuh. Atau	dap	at bayara	n jadi ti	mses nya si genjer genjer yg mantan PKI itu yaaa"
"@bowo_1987 @CutSarina5 @Miduk17 @mahasiswigenz @psi_id Gak kapok2 dilepehin Ganjar, Ada Wadas, Eko Kuntadhi juga, PSI lebih apes, PSI Ap	asih	? PSSI ka	li? Duh b	ong Ganjarist @Miduk17 Cs cukup mereka. 😊😊😆🤣"
"@TeddGus @aniesbaswedan Sebenarnya ada juga benarnya kata kata lu. Tapi lu cuma anak DO, tanpa prestasi pula hidupnya, jadi nilai yg lu	samp	aikan gk	meyakinka	n. Apalagi ditambah lu memuja Ganjar dan Jokowi yg kalau memakai logika lu juga gk ada prestasi,"
"@ganjarpranowo Silaturakhmi yg Allah sukai, bsa bertambah sodara mendapat do'a dan tawadu sma guru2,yg Alim. Semoga sehat trs pak ganjar	.�	�		"
